lat,lon,temp_c,dewpoint_c,u10,v10,pblh_m,sp_hpa,tp_mm,timestamp
31.0,75.5,26.5,16.2,3.4,-2.9,480.0,985.0,0.0,2026-09-10 06:00:00
30.0,76.5,27.2,17.0,3.1,-2.4,520.0,990.0,0.0,2026-09-10 06:00:00
29.0,77.0,28.0,17.8,2.8,-1.9,560.0,994.0,0.0,2026-09-10 06:00:00
28.5,77.2,28.8,18.4,2.2,-1.5,510.0,998.0,0.0,2026-09-10 06:00:00
27.0,78.5,29.4,19.1,1.9,-1.1,620.0,1002.0,0.0,2026-09-10 06:00:00
25.5,83.0,30.1,20.5,1.4,-0.8,710.0,1005.0,0.0,2026-09-10 06:00:00
19.0,73.0,31.0,23.5,-1.5,2.2,850.0,1008.0,0.0,2026-09-10 06:00:00
18.5,74.0,29.5,21.0,-1.2,1.8,920.0,960.0,0.0,2026-09-10 06:00:00
13.0,77.5,26.0,18.0,2.5,1.1,1100.0,915.0,0.0,2026-09-10 06:00:00
13.0,80.2,32.0,25.0,-2.8,0.5,950.0,1010.0,0.0,2026-09-10 06:00:00
